delta_mz	count_estimate	mass_signature	note	dict	type
1.0033	4155	1.00335	C isotope	"{'(C12)': -1, '(C13)': 1}"	isotope
14.0155	900	14.015649	addition of acetic acid and loss of CO2. Reaction: (+C2H2O2) and (-CO2)	"{'C': 1, 'H': 2}"	modification
18.0104	885	18.010565	water	"{'H': 2, 'O': 1}"	modification
2.0155	717	2.01565	"± 2H, opening or forming of double bond"	{'H': 2}	modification
21.9818	657	21.98194	"Na+<-> H+, salt adduct"	"{'Na': 1, 'H': -1}"	modification
44.0261	652	44.0262	hydroxyethylation	"{'C': 2, 'H': 4, 'O': 1}"	modification
28.0312	621	28.0313	"± C2H4, natural alkane chains such as fatty acids"	"{'C': 2, 'H': 4}"	modification
15.9948	479	15.9949	oxidation	{'O': 1}	modification
17.0264	451	17.0265	addition of ammonia. Reaction: (+NH3)	"{'N': 1, 'H': 3}"	modification
0.5015	450	0.5017	double charged with C13	"{'C': -1, '(C13)': 1}"	isotope
26.0155	440	26.01565	acetylation and loss of oxygen. Reaction: (+C2H2O) and (-O)	"{'C': 2, 'H': 2}"	modification
27.9947	433	27.9949	addition of CO. Reaction: (+CO)	"{'C': 1, 'O': 1}"	modification
11.9999	426	12	methylation and reduction	{'C': 1}	modification
30.0104	369	30.010564	addition of acetic acid and loss of CO. Reaction: (+C2H2O2) and (-CO)	"{'C': 1, 'H': 2, 'O': 1}"	modification
32.026	349	32.026215	MeOH	"{'C': 1, 'H': 4, 'O': 1}"	modification
42.0104	340	42.010564	malonylation and loss of CO2. Reaction: (+C3H2O3) and (-CO2)	"{'C': 2, 'H': 2, 'O': 1}"	modification
67.9872	325	67.987424	NaCOOH	"{'C': 1, 'O': 2, 'Na': 1, 'H': 1}"	modification
13.9791	321	13.979264	nitrification and loss of oxygen. Reaction: (NH2 -> NO2) and (-O)	"{'H': -2, 'O': 1}"	modification
23.9998	317	24	acetylation and loss of water. Reaction: (+C2H2O) and (-H2O)	{'C': 2}	modification
16.0312	314	16.0313	Methylation + reduction	"{'C': 1, 'H': 4}"	modification
42.0468	314	42.04695	"± C3H6, propylation"	"{'C': 3, 'H': 6}"	modification
46.0053	313	46.00548	� CO+H2O (carboxylic acid)	"{ 'C':1 ,'O':2, 'H':2}"	modification
88.0522	304	88.052429	butanoic acid	"{'C': 4, 'H': 8, 'O': 2}"	modification
41.0263	295	41.026549	Acetonitrile	"{'C': 2, 'H': 3, 'N': 1}"	modification
